PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
ND0031186,221310,Water Supply and Irrigation Systems,4941,Water Supply
ND0031194,221310,Water Supply and Irrigation Systems,4941,Water Supply
ND0032107,721120,Casino Hotels,7011,Hotels And Motels
NDDW0001I,221310,Water Supply and Irrigation Systems,4941,Water Supply
NDDW0002I,221310,Water Supply and Irrigation Systems,4941,Water Supply
NDDW0003I,221310,Water Supply and Irrigation Systems,4941,Water Supply
NDDW0004I,,,4941,Water Supply
NDDW0005I,221310,Water Supply and Irrigation Systems,4941,Water Supply
NDG120028,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120141,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120150,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120176,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120184,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120214,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120222,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120257,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120281,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120290,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120397,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120575,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120745,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120753,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120834,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG120931,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG121458,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG121822,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG121849,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG121903,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG121954,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122080,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122101,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122161,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122179,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122209,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122381,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122586,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122608,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122659,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122730,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122756,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG122829,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG123035,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG123043,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG123159,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG123167,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG123256,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG123264,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG123442,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG123761,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG124341,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG124635,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG125356,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG125372,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG126093,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG126239,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG126280,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG126298,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG126409,,,4952,Sewerage Systems
NDG126433,,,4952,Sewerage Systems
NDG126441,,,4952,Sewerage Systems
NDG126450,,,4952,Sewerage Systems
NDG220036,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220117,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220303,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220338,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220389,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220494,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220630,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220702,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220770,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220788,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG220826,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221164,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221288,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221300,221320,Sewage Treatment Facilities,4952,Sewerage Systems
